V1,V2,weight,V4,V5
QNI,EMU,1.443,ci-in,NonSpecific
XK3,EQH,2.5854,nonspecific,NonSpecific
SZL,ES4,1.647,co-in,CMGC
ZIP,ES4,1.47,co-in,CMGC
GVJ,ES4,1.4952,co-in,CMGC
WG8,ESJ,1.668,co-in,CMGC
YQY,EUI,2.2902,co-in,STE
MEK,EUI,1.446,co-in,STE
K68,EXX,1.5186,ci-in,CMGC
RFZ,EXX,1.6866,ci-in,CMGC
EZV,EZR,2.274,co-in,CMGC
N15,EZR,1.4814,co-in,CMGC
L1G,EZR,1.4538,co-in,CMGC
N15,EZV,1.6068,nonspecific,CMGC
IDZ,EZV,1.4742,nonspecific,CMGC
N13,EZV,1.4664,nonspecific,CMGC
FF1,F0S,2.4876,ci-in,Family_Not_Found
ZS2,F0S,2.4174,ci-in,Family_Not_Found
KZQ,F0S,2.028,ci-in,Family_Not_Found
P4O,F10,2.2686,nonspecific,CAMK
L8I,F10,1.6758,nonspecific,CAMK
I85,F10,1.5528,nonspecific,CAMK
FRZ,F29,2.1954,ci-in,CMGC
FS8,F46,1.8942,ci-out,CMGC
LKG,F47,1.8048,co-in,TK
QRW,F4C,1.4586,ci-out,CMGC
FS7,F76,2.2494,ci-in,AGC
FBL,FAL,3,co-in,CMGC
HDY,FAL,1.554,co-in,CMGC
FAP,FAL,1.8858,co-in,CMGC
FCP,FAL,1.8858,co-in,CMGC
QQ2,FAL,1.7166,co-in,CMGC
MFP,FAL,1.5258,co-in,CMGC
MFQ,FAL,1.5258,co-in,CMGC
FCP,FAP,3,co-in,CMGC
MFP,FAP,1.8642,co-in,CMGC
MFQ,FAP,1.8642,co-in,CMGC
QQ2,FAP,1.8402,co-in,CMGC
FBL,FAP,1.8858,co-in,CMGC
HDY,FAP,1.5804,co-in,CMGC
HDY,FBL,1.554,co-in,CMGC
FCP,FBL,1.8858,co-in,CMGC
QQ2,FBL,1.7166,co-in,CMGC
MFP,FBL,1.5258,co-in,CMGC
MFQ,FBL,1.5258,co-in,CMGC
MFP,FCP,1.8642,co-in,CMGC
MFQ,FCP,1.8642,co-in,CMGC
QQ2,FCP,1.8402,co-in,CMGC
HDY,FCP,1.5804,co-in,CMGC
IXM,FEF,2.1918,ci-in,NonSpecific
INR,FEF,1.5558,ci-in,NonSpecific
IRB,FEF,1.7586,ci-in,NonSpecific
ZS2,FF1,2.4252,ci-in,Family_Not_Found
KZQ,FF1,2.043,ci-in,Family_Not_Found
FH5,FH3,2.5308,ci-in,Other
NL4,FH3,1.6062,ci-in,Other
X6D,FH3,1.4382,ci-in,Other
NL4,FH5,1.6044,nonspecific,NonSpecific
X6D,FH5,1.434,nonspecific,NonSpecific
FL4,FI4,1.7892,ci-in,CMGC
FKN,FI4,1.7394,ci-in,CMGC
FML,FI4,1.5672,ci-in,CMGC
XI2,FI4,1.5672,ci-in,CMGC
FLZ,FKL,1.872,ci-in,CMGC
P40,FKL,1.7034,ci-in,CMGC
LHJ,FKL,1.8174,ci-in,CMGC
FPX,FKL,1.8282,ci-in,CMGC
NQB,FKL,1.4922,ci-in,CMGC
O43,FKL,1.4424,ci-in,CMGC
JIN,FKL,1.6284,ci-in,CMGC
P37,FKL,1.4814,ci-in,CMGC
P16,FKL,1.6254,ci-in,CMGC
P17,FKL,1.5672,ci-in,CMGC
T1Q,FKL,1.563,ci-in,CMGC
FLW,FKL,1.4814,ci-in,CMGC
XR1,FKL,1.4772,ci-in,CMGC
FL4,FKN,2.0298,ci-in,CMGC
FML,FKN,1.74,ci-in,CMGC
XI2,FKN,1.74,ci-in,CMGC
FML,FL4,1.6248,ci-in,CMGC
XI2,FL4,1.6248,ci-in,CMGC
FLY,FLS,2.4534,ci-in,CMGC
FMK,FLS,2.2992,ci-in,CMGC
FLW,FLS,2.3166,ci-in,CMGC
FML,FLS,1.575,ci-in,CMGC
XI2,FLS,1.575,ci-in,CMGC
FLZ,FLS,1.8366,ci-in,CMGC
T1Q,FLS,1.554,ci-in,CMGC
FLY,FLW,2.4846,ci-in,CMGC
FMK,FLW,2.2386,ci-in,CMGC
FLZ,FLW,2.0526,ci-in,CMGC
T1Q,FLW,1.5342,ci-in,CMGC
P16,FLW,1.4952,ci-in,CMGC
FMK,FLY,2.3874,ci-in,CMGC
FLZ,FLY,1.9806,ci-in,CMGC
JIN,FLY,1.5798,ci-in,CMGC
MT4,FLY,1.473,ci-in,CMGC
P17,FLY,1.4796,ci-in,CMGC
P16,FLY,1.4616,ci-in,CMGC
FPX,FLY,1.4538,ci-in,CMGC
FMK,FLZ,1.791,ci-in,CMGC
XI2,FML,3,ci-in,CMGC
GW7,FMM,1.6338,co-in,TK
W32,FMM,1.4424,co-in,TK
FP3,FNI,1.5936,ci-in,TKL
FP4,FP3,1.7634,ci-in,TKL
FPW,FPU,1.7862,ci-out,TK
LEV,FPU,1.632,ci-out,TK
MT3,FPW,1.5744,co-in,TK
MT4,FPW,1.5144,co-in,TK
MP7,FPW,1.4958,co-in,TK
G17,FPX,1.6998,ci-out,TK
JIN,FPX,1.9746,ci-out,TK
G6I,FPX,1.6704,ci-out,TK
G6H,FPX,1.617,ci-out,TK
P16,FPX,1.8744,ci-out,TK
MUH,FPX,1.5576,ci-out,TK
P17,FPX,1.8636,ci-out,TK
LJE,FPX,1.5042,ci-out,TK
NIL,FPX,1.5186,ci-out,TK
LHJ,FPX,1.5696,ci-out,TK
Q7M,FPX,1.4316,ci-out,TK
XR1,FPX,1.5858,ci-out,TK
T1Q,FPX,1.5144,ci-out,TK
IM9,FRT,1.911,co-in,CMGC
FRV,FRT,2.1738,co-in,CMGC
I1P,FRT,1.7922,co-in,CMGC
HDT,FRT,1.5768,co-in,CMGC
I19,FRT,1.56,co-in,CMGC
HDT,FRV,1.7118,co-in,CMGC
I1P,FRV,1.6764,co-in,CMGC
IM9,FRV,1.6788,co-in,CMGC
P1E,FRV,1.4472,co-in,CMGC
I19,FRV,1.4796,co-in,CMGC
M02,FS9,1.9206,co-in,AGC
M01,FS9,1.956,co-in,AGC
ZYU,FS9,1.7244,co-in,AGC
QWI,FS9,1.668,co-in,AGC
SIJ,FS9,1.674,co-in,AGC
QNI,FS9,1.6968,co-in,AGC
FXG,FS9,1.5666,co-in,AGC
QUE,FSE,2.472,ci-in,CMGC
MYU,FSE,2.3496,ci-in,CMGC
KMP,FSE,2.2362,ci-in,CMGC
MRI,FSE,2.103,ci-in,CMGC
MYC,FSE,2.2452,ci-in,CMGC
LU2,FSE,2.0436,ci-in,CMGC
QCT,FSE,1.728,ci-in,CMGC
NRA,FSE,1.7118,ci-in,CMGC
GEN,FSE,1.5978,ci-in,CMGC
MYF,FSE,1.9176,ci-in,CMGC
HUL,FSE,1.7256,ci-in,CMGC
SL0,FSE,1.4796,ci-in,CMGC
REF,FSE,1.485,ci-in,CMGC
LHL,FSS,2.703,ci-in,CMGC
RO6,FSS,1.6236,ci-in,CMGC
G17,FU9,1.4934,ci-in,CMGC
NHJ,FU9,1.4604,ci-in,CMGC
ZIP,FXG,1.5186,ci-out,Family_Not_Found
M01,FXG,1.4976,ci-out,Family_Not_Found
M02,FXG,1.4496,ci-out,Family_Not_Found
FZ9,FZ8,1.752,ci-in,AGC
M01,FZ8,1.5606,ci-in,AGC
M02,FZ8,1.554,ci-in,AGC
GK5,G11,2.1276,ci-in,CMGC
GK4,G11,1.5084,ci-in,CMGC
GK6,G11,1.443,ci-in,CMGC
P40,G11,1.4586,ci-in,CMGC
I2O,G11,1.4316,ci-in,CMGC
REF,G12,1.4388,ci-in,Family_Not_Found
P40,G17,1.6026,ci-out,Family_Not_Found
MUH,G17,1.5606,ci-out,Family_Not_Found
G6I,G17,1.4508,ci-out,Family_Not_Found
LJE,G17,1.4436,ci-out,Family_Not_Found
R39,G2G,1.782,ci-out,Family_Not_Found
KAO,G2G,1.6686,ci-out,Family_Not_Found
Z85,G2G,1.5222,ci-out,Family_Not_Found
L51,G2G,1.5444,ci-out,Family_Not_Found
R48,G2G,1.5108,ci-out,Family_Not_Found
R49,G2G,1.5192,ci-out,Family_Not_Found
SS6,G2G,1.4808,ci-out,Family_Not_Found
K9Y,G2G,1.4772,ci-out,Family_Not_Found
Z84,G2G,1.4952,ci-out,Family_Not_Found
Z86,G2G,1.4346,ci-out,Family_Not_Found
G6K,G5K,2.7,ci-in,TK
G7K,G5K,1.4988,ci-in,TK
G6I,G6G,2.2296,ci-out,Family_Not_Found
STI,G6G,2.0184,ci-out,Family_Not_Found
G6H,G6G,2.025,ci-out,Family_Not_Found
MPZ,G6G,1.7892,ci-out,Family_Not_Found
MUH,G6G,1.5732,ci-out,Family_Not_Found
PRC,G6G,1.4394,ci-out,Family_Not_Found
RAJ,G6G,1.563,ci-out,Family_Not_Found
R4L,G6G,1.4664,ci-out,Family_Not_Found
G6I,G6H,2.6478,nonspecific,NonSpecific
MUH,G6H,2.0232,nonspecific,NonSpecific
LJE,G6H,1.6608,nonspecific,NonSpecific
RAJ,G6H,1.5966,nonspecific,NonSpecific
PRC,G6H,1.521,nonspecific,NonSpecific
NIL,G6H,1.4784,nonspecific,NonSpecific
JK2,G6H,1.434,nonspecific,NonSpecific
MR9,G6H,1.4592,nonspecific,NonSpecific
MUH,G6I,2.1426,ci-out,STE
LJE,G6I,1.7022,ci-out,STE
RAJ,G6I,1.6458,ci-out,STE
PRC,G6I,1.587,ci-out,STE
NIL,G6I,1.533,ci-out,STE
NHJ,G6I,1.488,ci-out,STE
MR9,G6I,1.4454,ci-out,STE
LJF,G6I,1.4496,ci-out,STE
G7K,G6K,1.5252,nonspecific,NonSpecific
SQ9,G6T,2.43,ci-in,CMGC
N76,G6T,1.9398,ci-in,CMGC
JYM,G6T,1.5648,ci-in,CMGC
N69,G6T,1.5636,ci-in,CMGC
NU6,G6T,1.4946,ci-in,CMGC
N41,G6T,1.461,ci-in,CMGC
NU5,G6T,1.5486,ci-in,CMGC
N20,G6T,1.4442,ci-in,CMGC
G96,G93,2.0154,ci-in,AGC
VUP,G93,1.569,ci-in,AGC
Z21,G93,1.4676,ci-in,AGC
G98,G93,1.6284,ci-in,AGC
G98,G96,1.908,ci-in,Family_Not_Found
VUP,G96,1.6614,ci-in,Family_Not_Found
Z21,G96,1.5516,ci-in,Family_Not_Found
RBS,G97,1.6632,nonspecific,NonSpecific
QPP,G97,1.9542,nonspecific,NonSpecific
IRG,G97,1.4892,nonspecific,NonSpecific
QIG,G97,1.53,nonspecific,NonSpecific
L1G,G9B,1.53,ci-in,TK
L3G,G9B,1.482,ci-in,TK
L2G,G9B,1.4712,ci-in,TK
GTP,GDP,2.9568,nonspecific,NonSpecific
GNP,GDP,2.6934,nonspecific,NonSpecific
M33,GDP,2.2752,nonspecific,NonSpecific
NBS,GDP,2.1522,nonspecific,NonSpecific
GUB,GDP,1.641,nonspecific,NonSpecific
SGV,GDP,1.5612,nonspecific,NonSpecific
RFZ,GDP,1.4424,nonspecific,NonSpecific
KMP,GEN,1.9752,ci-in,CAMK
MRI,GEN,1.8648,ci-in,CAMK
QUE,GEN,1.821,ci-in,CAMK
MYC,GEN,1.7742,ci-in,CAMK
NRA,GEN,1.8246,ci-in,CAMK
LU2,GEN,1.8366,ci-in,CAMK
MYF,GEN,1.8138,ci-in,CAMK
QCT,GEN,1.4364,ci-in,CAMK
HUL,GEN,1.6374,ci-in,CAMK
MYU,GEN,1.599,ci-in,CAMK
I46,GG5,2.3664,ci-in,CMGC
LL1,GG5,1.455,ci-in,CMGC
GVG,GG5,1.461,ci-in,CMGC
VVT,GG5,1.7142,ci-in,CMGC
PY1,GG5,1.5156,ci-in,CMGC
JUP,GGY,2.4264,nonspecific,NonSpecific
WTI,GGY,1.4628,nonspecific,NonSpecific
LIF,GIG,1.5282,ci-out,TK
KIN,GIG,1.6146,ci-out,TK
X76,GIN,1.4424,ci-out,TK
GK4,GK3,2.0022,ci-in,CMGC
GK5,GK4,1.8072,ci-in,CMGC
GK6,GK4,1.4658,ci-in,CMGC
GK6,GK5,1.6074,ci-in,CMGC
I2O,GK5,1.6356,ci-in,CMGC
P40,GK5,1.587,ci-in,CMGC
KQ7,GK6,1.8102,ci-out,CMGC
P38,GK6,1.5504,ci-out,CMGC
P40,GK6,1.4754,ci-out,CMGC
Z4K,GLC,1.7844,nonspecific,NonSpecific
PDX,GLC,1.6764,nonspecific,NonSpecific
HSJ,GLC,1.962,nonspecific,NonSpecific
MMG,GMG,2.2278,nonspecific,NonSpecific
GTP,GNP,2.661,ci-in,Family_Not_Found
M33,GNP,2.163,ci-in,Family_Not_Found
NBS,GNP,2.0328,ci-in,Family_Not_Found
GUB,GNP,1.611,ci-in,Family_Not_Found
SGV,GNP,1.5264,ci-in,Family_Not_Found
SGM,GOL,1.9152,ci-in,NonSpecific
PGO,GOL,2.0046,ci-in,NonSpecific
KDI,GR9,2.2302,ci-in,CMGC
GS7,GS2,1.968,co-in,TK
GS3,GS2,1.9932,co-in,TK
KQQ,GS2,1.8102,co-in,TK
YY3,GS2,1.4778,co-in,TK
R4L,GS2,1.4916,co-in,TK
VG8,GS2,1.4802,co-in,TK
GS7,GS3,2.1504,omega,TK
S22,GS3,1.575,omega,TK
KQQ,GS3,1.7916,omega,TK
KGW,GS3,1.5966,omega,TK
GUI,GS3,1.5438,omega,TK
VG8,GS3,1.6122,omega,TK
R4L,GS3,1.5198,omega,TK
IBI,GS3,1.4364,omega,TK
R78,GS3,1.4358,omega,TK
KQQ,GS7,1.6464,ci-in,CMGC
M33,GTP,2.2512,nonspecific,NonSpecific
NBS,GTP,2.1354,nonspecific,NonSpecific
GUB,GTP,1.6326,nonspecific,NonSpecific
SGV,GTP,1.554,nonspecific,NonSpecific
RFZ,GTP,1.434,nonspecific,NonSpecific
NBS,GUB,2.178,ci-in,CAMK
SGV,GUB,1.764,ci-in,CAMK
RFZ,GUB,1.62,ci-in,CAMK
M33,GUB,1.8534,ci-in,CAMK
VG8,GUI,1.761,ci-in,NonSpecific
S22,GUI,1.9074,ci-in,NonSpecific
R4L,GUI,1.5654,ci-in,NonSpecific
IHH,GVD,2.1402,ci-in,NonSpecific
REB,GVD,1.6578,ci-in,NonSpecific
QPP,GVD,1.5642,ci-in,NonSpecific
L15,GVG,2.0316,ci-in,Family_Not_Found
H3R,GVG,1.6674,ci-in,Family_Not_Found
GVJ,GVI,2.157,ci-in,Family_Not_Found
GVK,GVI,1.7958,ci-in,Family_Not_Found
GVK,GVJ,1.734,ci-in,Family_Not_Found
GVP,GVK,1.8138,ci-in,Family_Not_Found
GVO,GVN,3,ci-in,Family_Not_Found
GVQ,GVN,1.7808,ci-in,Family_Not_Found
GVP,GVN,1.8096,ci-in,Family_Not_Found
L15,GVN,1.473,ci-in,Family_Not_Found
GVQ,GVO,1.7808,ci-in,Family_Not_Found
GVP,GVO,1.8096,ci-in,Family_Not_Found
L15,GVO,1.473,ci-in,Family_Not_Found
IPV,GW8,1.5048,omega,STE
OFG,GWH,1.7076,ci-in,TK
H9K,H0K,2.3874,ci-in,CAMK
HK1,H0K,2.0538,ci-in,CAMK
LIG,H0K,1.884,ci-in,CAMK
H8K,H0K,1.6938,ci-in,CAMK
HK5,H0K,1.5852,ci-in,CAMK
H7K,H0K,1.461,ci-in,CAMK
HKC,H0K,1.6608,ci-in,CAMK
HK4,H0K,1.488,ci-in,CAMK
H2K,H1K,1.5978,ci-in,CAMK
ZOP,H1N,1.4322,ci-in,NonSpecific
H4K,H2K,1.4844,ci-in,CAMK
H3K,H2K,1.5624,ci-in,CAMK
H5K,H2K,1.4868,ci-in,CAMK
H4K,H3K,1.4808,ci-in,CAMK
H5K,H3K,1.497,ci-in,CAMK
LL1,H3R,1.4352,ci-in,CAMK
H5K,H4K,2.0832,ci-in,CAMK
H6K,H4K,1.8672,ci-in,CAMK
IQP,H52,2.1816,ci-in,Family_Not_Found
M77,H52,1.9896,ci-in,Family_Not_Found
HFS,H52,1.6734,ci-in,Family_Not_Found
IQS,H52,1.5126,ci-in,Family_Not_Found
IQU,H52,1.4376,ci-in,Family_Not_Found
I5S,H52,1.4358,ci-in,Family_Not_Found
IQB,H52,1.4394,ci-in,Family_Not_Found
H6K,H5K,1.6896,ci-in,CAMK
H8K,H7K,2.1198,ci-in,CAMK
HK1,H7K,1.4646,ci-in,CAMK
H9K,H8K,1.6956,ci-in,CAMK
HK1,H8K,1.5192,ci-in,CAMK
LIG,H8K,1.524,ci-in,CAMK
HK1,H9K,2.2662,ci-in,CAMK
LIG,H9K,2.0436,ci-in,CAMK
HKC,H9K,1.8318,ci-in,CAMK
HK5,H9K,1.5684,ci-in,CAMK
HK4,H9K,1.572,ci-in,CAMK
XIZ,HC4,1.6716,co-in,Other
ZAT,HCW,1.911,ci-in,CAMK
YCF,HCW,1.7004,ci-in,CAMK
I1P,HDT,1.7658,co-in,CMGC
JNO,HDT,1.5744,co-in,CMGC
JNF,HDT,1.5612,co-in,CMGC
HDU,HDT,1.5324,co-in,CMGC
HDY,HDT,1.5408,co-in,CMGC
LZ4,HDT,1.5066,co-in,CMGC
U55,HDT,1.4862,co-in,CMGC
HDY,HDU,1.8702,co-in,CMGC
JNO,HDU,1.6578,co-in,CMGC
JNF,HDU,1.5774,co-in,CMGC
PO5,HDY,1.638,co-in,CMGC
M77,HFS,2.3184,ci-in,NonSpecific
IQP,HFS,1.7598,ci-in,NonSpecific
IQU,HFS,1.494,ci-in,NonSpecific
IQS,HFS,1.5048,ci-in,NonSpecific
IQB,HFS,1.4466,ci-in,NonSpecific
I5S,HFS,1.4334,ci-in,NonSpecific
P4O,HGF,1.5498,ci-in,CAMK
HK9,HK0,1.6488,ci-in,CAMK
HKC,HK1,2.3178,ci-in,CAMK
HK4,HK1,2.0898,ci-in,CAMK
HK5,HK1,1.845,ci-in,CAMK
LIG,HK1,1.7478,ci-in,CAMK
HKC,HK4,1.8216,ci-in,CAMK
HK5,HK4,1.5546,ci-in,CAMK
HKC,HK5,1.7022,ci-in,CAMK
LIG,HK5,1.4856,ci-in,CAMK
HK8,HK6,2.0448,ci-in,CAMK
HK7,HK6,1.7814,ci-in,CAMK
HK9,HK6,1.5528,ci-in,CAMK
HK9,HK7,1.9734,ci-in,CAMK
HK8,HK7,1.5756,ci-in,CAMK
HK9,HK8,1.5474,ci-in,CAMK
LIG,HKC,1.5354,ci-in,CAMK
XZN,HKI,1.725,nonspecific,TK
TXQ,HNA,1.6092,ci-in,Family_Not_Found
MNY,HNA,1.6944,ci-in,Family_Not_Found
MSQ,HPM,1.5372,co-out,Other
LU2,HUL,2.0886,ci-in,CAMK
MYF,HUL,2.0802,ci-in,CAMK
KMP,HUL,1.9518,ci-in,CAMK
MYU,HUL,1.8954,ci-in,CAMK
QUE,HUL,1.839,ci-in,CAMK
MRI,HUL,1.7994,ci-in,CAMK
SL0,HUL,1.5342,ci-in,CAMK
MYC,HUL,1.8066,ci-in,CAMK
NRA,HUL,1.65,ci-in,CAMK
QCT,HUL,1.5636,ci-in,CAMK
WUL,HY7,2.4282,ci-in,CAMK
R9P,HY7,1.7106,ci-in,CAMK
POX,HYZ,2.0334,co-in,TK
I04,I01,2.4,ci-in,Family_Not_Found
I05,I01,2.6466,ci-in,Family_Not_Found
I08,I01,2.2722,ci-in,Family_Not_Found
R68,I01,1.8408,ci-in,Family_Not_Found
R69,I01,1.6674,ci-in,Family_Not_Found
R94,I01,1.6098,ci-in,Family_Not_Found
R55,I01,1.5744,ci-in,Family_Not_Found
R96,I01,1.5606,ci-in,Family_Not_Found
I05,I04,2.3856,ci-in,Family_Not_Found
I08,I04,2.4354,ci-in,Family_Not_Found
R68,I04,2.1294,ci-in,Family_Not_Found
R69,I04,2.0382,ci-in,Family_Not_Found
R94,I04,1.9518,ci-in,Family_Not_Found
R55,I04,1.8936,ci-in,Family_Not_Found
R96,I04,1.8684,ci-in,Family_Not_Found
I08,I05,2.2524,ci-in,Family_Not_Found
R68,I05,1.8354,ci-in,Family_Not_Found
R69,I05,1.6788,ci-in,Family_Not_Found
R94,I05,1.6212,ci-in,Family_Not_Found
R55,I05,1.5846,ci-in,Family_Not_Found
R96,I05,1.5714,ci-in,Family_Not_Found
R68,I08,1.8396,ci-in,Family_Not_Found
R69,I08,1.6914,ci-in,Family_Not_Found
R94,I08,1.6326,ci-in,Family_Not_Found
R55,I08,1.6008,ci-in,Family_Not_Found
R96,I08,1.5918,ci-in,Family_Not_Found
OLO,I17,1.914,co-in,CMGC
RRC,I17,1.9644,co-in,CMGC
RC8,I17,1.7886,co-in,CMGC
SLQ,I17,1.7886,co-in,CMGC
VRZ,I17,1.4448,co-in,CMGC
P01,I17,1.4694,co-in,CMGC
M02,I17,1.458,co-in,CMGC
IM9,I19,1.7682,co-in,CMGC
PY1,I46,1.5804,nonspecific,CMGC
VVT,I46,1.4958,nonspecific,CMGC
IQS,I5S,2.115,ci-in,Family_Not_Found
IQU,I5S,2.0766,ci-in,Family_Not_Found
IQB,I5S,2.0718,ci-in,Family_Not_Found
M77,I5S,1.7124,ci-in,Family_Not_Found
IQP,I5S,1.6926,ci-in,Family_Not_Found
KS5,I76,2.1132,nonspecific,Family_Not_Found
UWA,I76,2.1438,nonspecific,Family_Not_Found
UW9,I76,2.0136,nonspecific,Family_Not_Found
V68,I76,1.9836,nonspecific,Family_Not_Found
PD5,I76,1.8726,nonspecific,Family_Not_Found
UWB,I76,1.9332,nonspecific,Family_Not_Found
VSH,I76,1.842,nonspecific,Family_Not_Found
VSP,I76,1.4382,nonspecific,Family_Not_Found
KS4,I76,1.8264,nonspecific,Family_Not_Found
VGG,I76,1.4466,nonspecific,Family_Not_Found
PP1,I76,1.833,nonspecific,Family_Not_Found
KS1,I76,1.6164,nonspecific,Family_Not_Found
L1G,I76,1.485,nonspecific,Family_Not_Found
L2G,I76,1.4634,nonspecific,Family_Not_Found
L3G,I76,1.491,nonspecific,Family_Not_Found
P4O,I85,1.4994,ci-in,CAMK
L8I,I85,1.4934,ci-in,CAMK
KSM,IAQ,1.6416,co-in,TK
R78,IBI,2.4492,ci-in,Other
R4L,IBI,1.8336,ci-in,Other
SVE,IBI,1.6248,ci-in,Other
VG8,IBI,1.4922,ci-in,Other
ZTX,IBI,1.4976,ci-in,Other
L1G,IBI,1.4568,ci-in,Other
L2G,IBI,1.4844,ci-in,Other
KQQ,IBI,1.4682,ci-in,Other
X2M,IC1,1.7202,ci-in,Family_Not_Found
X2L,IC1,1.9698,ci-in,Family_Not_Found
SU9,IC1,1.7334,ci-in,Family_Not_Found
SU1,IC1,1.4724,ci-in,Family_Not_Found
SU6,IC1,1.473,ci-in,Family_Not_Found
X2K,IC1,1.4796,ci-in,Family_Not_Found
IDV,IDK,2.322,ci-in,Other
OFI,IDK,1.6914,ci-in,Other
OFI,IDV,1.6944,ci-in,Other
L0D,IDZ,1.9908,ci-in,CAMK
LL1,IDZ,1.7118,ci-in,CAMK
JNZ,IDZ,1.5792,ci-in,CAMK
L0F,IDZ,1.5036,ci-in,CAMK
N13,IDZ,1.5702,ci-in,CAMK
N15,IDZ,1.5606,ci-in,CAMK
IE6,IE4,1.8768,ci-in,STE
NIL,IFC,1.7088,ci-out,TK
N17,IFC,1.5498,ci-out,TK
REB,IHH,2.2476,ci-in,Family_Not_Found
QPP,IHH,1.6206,ci-in,Family_Not_Found
MUH,IHZ,1.5552,ci-out,TK
NHJ,IHZ,1.5474,ci-out,TK
NIL,IHZ,1.515,ci-out,TK
O19,IM9,1.4994,co-in,CMGC
MH4,IM9,1.4748,co-in,CMGC
IXM,INR,1.7634,ci-in,NonSpecific
RYU,INR,1.7868,ci-in,NonSpecific
LS1,INR,1.5672,ci-in,NonSpecific
LS5,INR,1.5438,ci-in,NonSpecific
IRB,INR,1.5366,ci-in,NonSpecific
LS4,INR,1.5144,ci-in,NonSpecific
PGO,IPA,1.5696,ci-in,CAMK
SBT,IPA,1.7028,ci-in,CAMK
XYW,IPV,1.4556,ci-in,STE
VGH,IPW,1.5588,ci-in,STE
Q6W,IPW,1.5978,ci-in,STE
IQS,IQB,2.1738,ci-in,NonSpecific
IQU,IQB,2.1378,ci-in,NonSpecific
M77,IQB,1.7622,ci-in,NonSpecific
IQP,IQB,1.7166,ci-in,NonSpecific
M77,IQP,2.2746,ci-in,Family_Not_Found
IQS,IQP,1.9266,ci-in,Family_Not_Found
IQU,IQP,1.842,ci-in,Family_Not_Found
IQU,IQS,2.5896,ci-in,Family_Not_Found
M77,IQS,1.9128,ci-in,Family_Not_Found
M77,IQU,1.9056,ci-in,CAMK
IXM,IRB,2.1132,ci-in,CMGC
ZD6,IRE,1.9716,ci-in,TK
XZN,IRE,1.4706,ci-in,TK
LWH,IRG,1.5246,ci-in,CMGC
QPP,IRG,1.4892,ci-in,CMGC
Q17,IRG,1.7082,ci-in,CMGC
STU,ITQ,2.2026,ci-in,TK
UCN,ITQ,2.1726,ci-in,TK
XDR,ITQ,1.9368,ci-in,TK
KSA,ITQ,1.7856,ci-in,TK
VIN,ITQ,1.6098,ci-in,TK
UCM,ITQ,1.4958,ci-in,TK
OSV,ITQ,1.4388,ci-in,TK
J99,IV7,2.6334,ci-in,TK
KVC,IV7,1.8486,ci-in,TK
OFG,IV7,1.4466,ci-in,TK
LQQ,IXH,1.68,ci-out,TK
ZTX,IXH,1.4634,ci-out,TK
MH4,IXH,1.44,ci-out,TK
XR1,IXH,1.437,ci-out,TK
LI7,IXM,1.4688,ci-in,CMGC
IZZ,IYZ,1.8402,ci-in,NonSpecific
O43,IYZ,1.7076,ci-in,NonSpecific
O43,IZZ,1.4472,ci-in,Other
JNO,J07,1.4376,ci-in,CMGC
SU6,J60,1.7172,nonspecific,NonSpecific
PFY,J60,1.7898,nonspecific,NonSpecific
X2K,J60,1.5996,nonspecific,NonSpecific
X2M,J60,1.5876,nonspecific,NonSpecific
SU1,J60,1.557,nonspecific,NonSpecific
J88,J67,2.4318,ci-in,CMGC
J72,J67,2.3886,ci-in,CMGC
J88,J72,2.4486,ci-in,CMGC
KVC,J99,1.8324,ci-in,TK
LID,JBI,1.7898,ci-in,CMGC
LIE,JBI,1.7982,ci-in,CMGC
KBI,JBI,1.7952,ci-in,CMGC
P17,JIN,2.4408,ci-out,TK
P16,JIN,2.4378,ci-out,TK
T1Q,JIN,1.6218,ci-out,TK
XR1,JIN,1.7658,ci-out,TK
MT4,JIN,1.4322,ci-out,TK
L1X,JK2,1.455,nonspecific,NonSpecific
JNZ,JMZ,1.6806,ci-in,AGC
YSO,JMZ,1.4628,ci-in,AGC
JNO,JNF,1.9242,ci-in,CMGC
LL1,JNZ,1.5648,ci-in,AGC
Z19,JNZ,1.5804,ci-in,AGC
YSO,JNZ,1.929,ci-in,AGC
LZ1,JNZ,1.6638,ci-in,AGC
XU1,JPZ,1.6398,ci-in,AGC
WCX,JUP,1.56,ci-out,Other
WGZ,JUP,1.485,ci-out,Other
X66,JWS,2.403,co-in,CMGC
X06,JWS,2.0208,co-in,CMGC
X67,JWS,2.0436,co-in,CMGC
X11,JWS,2.1276,co-in,CMGC
X0A,JWS,1.692,co-in,CMGC
X01,JWS,1.7664,co-in,CMGC
N69,JYM,2.2902,ci-in,CMGC
NW1,JYM,1.5996,ci-in,CMGC
SQ9,JYM,1.4916,ci-in,CMGC
UN4,JYM,1.7256,ci-in,CMGC
N20,JYM,1.7598,ci-in,CMGC
N41,JYM,1.737,ci-in,CMGC
N76,JYM,1.5732,ci-in,CMGC
NU6,JYM,1.6962,ci-in,CMGC
NU5,JYM,1.4604,ci-in,CMGC
MBP,JYM,1.4418,ci-in,CMGC
MR9,K11,1.6584,ci-out,TK
LJE,K11,1.5972,ci-out,TK
LJF,K11,1.4574,ci-out,TK
K8X,K17,1.4652,ci-in,Family_Not_Found
TBS,K17,1.584,ci-in,Family_Not_Found
